--------------------LISTA v3 (Repeticiones)-------------------
Cantidad de Comparaciones SelDir: 136503
Palabra: conociendo || Repeticiones: 1 || Binary code: 0110011111
Palabra: region || Repeticiones: 1 || Binary code: 0110100000
Palabra: rincon || Repeticiones: 1 || Binary code: 0110100001
Palabra: explorando || Repeticiones: 1 || Binary code: 0110100010
Palabra: anos || Repeticiones: 1 || Binary code: 0110100011
Palabra: pasado || Repeticiones: 1 || Binary code: 0110100100
Palabra: bien || Repeticiones: 1 || Binary code: 0110100101
Palabra: conocia || Repeticiones: 1 || Binary code: 0110100110
Palabra: peligroso || Repeticiones: 1 || Binary code: 0110100111
Palabra: menudo || Repeticiones: 1 || Binary code: 0110101000
Palabra: sinuoso || Repeticiones: 1 || Binary code: 0110101001
Palabra: conducia || Repeticiones: 1 || Binary code: 0110101010
Palabra: sendero || Repeticiones: 1 || Binary code: 0110101011
Palabra: majestuosas || Repeticiones: 1 || Binary code: 0110101100
Palabra: alzaban || Repeticiones: 1 || Binary code: 0110101101
Palabra: norte || Repeticiones: 1 || Binary code: 0110101110
Palabra: montarlo || Repeticiones: 1 || Binary code: 0110101111
Palabra: manzana || Repeticiones: 1 || Binary code: 0110110000
Palabra: ofrecio || Repeticiones: 1 || Binary code: 0110110001
Palabra: crin || Repeticiones: 1 || Binary code: 0110110010
Palabra: acaricio || Repeticiones: 1 || Binary code: 0110110011
Palabra: verlo || Repeticiones: 1 || Binary code: 0110110100
Palabra: suavemente || Repeticiones: 1 || Binary code: 0110110101
Palabra: relincho || Repeticiones: 1 || Binary code: 0110110110
Palabra: inteligente || Repeticiones: 1 || Binary code: 0110110111
Palabra: mirada || Repeticiones: 1 || Binary code: 0110111000
Palabra: negro || Repeticiones: 1 || Binary code: 0110111001
Palabra: pelaje || Repeticiones: 1 || Binary code: 0110111010
